"Model Class","Model Attribute","Model Type","Model Multiplicity","Model Definition","NIEM XPath","NIEM Type","NIEM Property, ^Reference, (Representation)","NIEM Base Type","NIEM Multiplicity","Old XPath","Old Multiplicity","NIEM Mapping Notes","Code List Code=Definition;"
"MatchingFiling","filingID","id","","A number assigned by the court for a filing.","ecf:MatchingFiling/nc:DocumentIdentification","nc:DocumentType","nc:DocumentIdentification","nc:IdentificationType","1,unbounded","filinglistresponse:MatchingFiling/nc:DocumentIdentification","0,unbounded","",""
"MatchingFiling","filingStatus","string","","Details about the status of a court processing of a ReviewFilingMessage submitted to it, and of its processing of the documents contained within that message.","filingstatusresponse:GetFilingStatusResponseMessage/ecf:MatchingFiling/ecf:FilingStatus/ecf:FilingReviewStatusCode","ecf:CallbackMessageType","ecf:FilingStatus","ecf:FilingStatusType","1,1","filinglistresponse:MatchingFiling/ecf:FilingStatus","1,1","",""
"MatchingFiling","receivedTime","dateTime","","The data and time an MDE received a Message, on the clock of the MDE.","ecf:MatchingFiling/nc:DocumentReceivedDate","nc:DocumentType","nc:DocumentReceivedDate","nc:DateType","0,1","filinglistresponse:MatchingFiling/nc:DocumentReceivedDate","0,1","",""
"MatchingFiling","submitterID","id","","A unique identifier for a person or organization which submits a Review Filing Message. This may refer to any combination of the assembler, authorizer, or the represented party in the filing.","ecf:MatchingFiling/nc:DocumentSubmitter/nc:EntityPerson/ecf:PersonAugmentation/ecf:FilingPartyID","nc:DocumentType","nc:DocumentSubmitter","nc:EntityType","0,1","filinglistresponse:MatchingFiling/nc:DocumentSubmitter/nc:EntityOrganization/nc:OrganizationID, filinglistreponse:MatchingFiling/nc:DocumentSubmitter/nc:EntityPerson/nc:PersonID","0,1","",""
"MatchingFiling","case (<directional aggregation>)","","1","A case associated with a document.","ecf:MatchingFiling/nc:Case","ecf:CallbackMessageType","nc:Case","nc:CaseType","1,1","filinglistresponse:FilingListResponseMessage/nc:CaseTrackingID","0,1","",""
"MatchingFiling","submitter","string","0..1","The submitter of a document","ecf:MatchingFiling/nc:DocumentSubmitter","nc:DocumentType","nc:DocumentSubmitter","nc:EntityType","0,1","filinglistresponse:FilingListResponseMessage/nc:DocumentSubmitter","0,1","",""
"MessageReceiptMessage","","","","A message returned synchronously to indicate receipt by an MDE of another message.  The name ""MessageReceipt"" suggested by S. Durham June 30 2005, and adopted by consensus on a TC call that day. The intent is that this will serve as the synchronous reply to all MDE operations that have an additional, asynchronous callback.","cbrn:MessageStatus","","cbrn:MessageStatus","cbrn:MessageStatusType","","messagereceipt:MessageReceiptMessage","","",""
"MessageReceiptMessage","error (<directional aggregation>)","","","Representation of an error that occured when synchronously processing the message.","cbrn:MessageStatus/cbrn:MessageContentError/cbrn:ErrorDescription/cbrn:ErrorCodeDescriptionText","cbrn:MessageErrorType","cbrn:ErrorCodeDescriptionText","nc:TextType","0,1","messagereceipt:MessageReceiptMessage/ecf:Error","0,unbounded","",""
"MessageReceiptMessage","filingID","id","","An identifier for a single electronic filing transaction assigned by the Filing Review MDE.  The identifier is unique within a court and case. ""Transaction"" means the sequence of messages from initial filing review through receipt of the asynchronous review callback.","cbrn:MessageStatus/ecf:MessageStatusAugmentation/nc:DocumentIdentification","ecf:MessageStatusAugmentationType","nc:DocumentIdentification","nc:IdentificationType","1,unbounded","messagereceipt:MessageReceiptMessage/nc:DocumentIdentification","0,unbounded","",""
"NotifyCourtDateMessage","","","","The message returned when the a court date is scheduled, generally in response to a ReserveCourtDateRequest.","datecallback:NotifyCourtDateMessage","datecallback:NotifyCourtDateMessageType","","ecf:CaseFilingType","","","","",""
"NotifyCourtDateMessage","messageExtension","extension","*","An extension point for the enclosing message.","datecallback:NotifyCourtDateMessage/datecallback:NotifyCourtDateMessageAugmentationPoint","datecallback:NotifyCourtDateMessageType","datecallback:NotifyCourtDateMessageAugmentationPoint","abstract","0,unbounded","","","",""
"NotifyCourtDateMessage","eventType","string","1","A type of court event","datecallback:NotifyCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtEventTypeCode","ecf:CourtEventAugmentationType","ecf:CourtEventTypeCode","nc:TextType","1,1","","","Genericode code list CourtEventTypeCode.gc",""
"NotifyCourtDateMessage","startTime","","1","The start date and time of a court event","datecallback:NotifyCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/j:CourtEventSchedule/j:ScheduleDayStartTime","nc:ScheduleDayType","nc:ScheduleDayStartTime","niem-xs:time","0,1","","","",""
"NotifyCourtDateMessage","endTime","","1","The end date and time of a court event","datecallback:NotifyCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/j:CourtEventSchedule/nc:ScheduleDayEndTime","nc:ScheduleDayType","nc:ScheduleDayEndTime","niem-xs:time","0,1","","","",""
"NotifyCourtDateMessage","eventLocation","string","1","A court location","datecallback:NotifyCourtDateMessage/nc:Case/j:CaseAugmentation/j:CaseCourtEvent/ecf:CourtEventAugmentation/ecf:CourtLocationCode","ecf:CourtEventAugmentationType","ecf:CourtLocationCode","nc:TextType","0,1","","","Genericode code list CourtLocationCode.gc",""
"NotifyCourtDateMessage","calendarEvent","calendar","0..1","An event to add to a calendar	","datecallback:NotifyCourtDateMessage/xcal:icalendar/xcal:xcalendar/xcal:components/xcal:vevent","datecallback:NotifyCourtDateMessageType","xcal:icalendar","xcal:IcalendarType","0,1","","","",""
"NotifyCourtDateMessage","case (<directional aggregation>)","","0..1","A court case","datecallback:NotifyCourtDateMessage/nc:Case","datecallback:NotifyCourtDateMessageType","nc:Case","nc:CaseType","0,1","","","",""
"NotifyDocketingCompleteMessage","","","","The message returned from the Court Record MDE to the Filing Review MDE when the functions of entering information onto the docket or register of actions and commiting a filed document(s) to the official court record have been completed, conveying the results of those functions.","docketcallback:NotifyDocketingCompleteMessage","docketcallback:NotifyDocketingCompleteMessageType","","ecf:CallbackMessageType","","docketcallback:NotifyDocketingCompleteMessage","","",""
"NotifyDocketingCompleteMessage","messageExtension","extension","*","An extension point for the enclosing message.","docketcallback:NotifyDocketingCompleteMessage/docketcallback:NotifyDocketingCompleteMessageAugmentationPoint","docketcallback:NotifyDocketingCompleteMessageType","docketcallback:NotifyDocketingCompleteMessageAugmentationPoint","abstract","0,unbounded","","","",""
"NotifyDocumentStampInformationMessage","","","","A response to a request for document stamping information.","stampinformationcallback:NotifyDocumentStampInformationMessage","stampinformationcallback:NotifyDocumentStampInformationMessageType","","ecf:CallbackMessageType","","","","",""
"NotifyDocumentStampInformationMessage","case (<directional aggregation>)","","1","The court case that is the subject of this query.","stampinformationcallback:NotifyDocumentStampInformationMessage/nc:Case","ecf:CallbackMessageType","nc:Case","nc:CaseType","1,1","","","",""
"NotifyDocumentStampInformationMessage","messageExtension","extension","*","An extension point for the enclosing message.","stampinformationcallback:NotifyDocumentStampInformationMessage/stampinformationcallback:NotifyDocumentStampInformationMessageAugmentationPoint","stampinformationcallback:NotifyDocumentStampInformationMessageType","stampinformationcallback:NotifyDocumentStampInformationMessageAugmentationPoint","abstract","0,unbounded","","","",""
"NotifyFilingReviewCompleteMessage","","","","The asynchronous message from the Filing Review MDE to the Filing Assembly MDE conveying information concerning the court actions on the documents submitted for filing in a ReviewFilingMessage.","reviewfilingcallback:NotifyFilingReviewCompleteMessage","reviewfilingcallback:NotifyFilingReviewCompleteMessageType","","ecf:CallbackMessageType","","reviewfilingcallback:ReviewFilingCallbackMessage","","",""
"NotifyFilingReviewCompleteMessage","messageExtension","extension","*","An extension point for the enclosing message.","reviewfilingcallback:NotifyFilingReviewCompleteMessage/reviewfilingcallback:NotifyFilingReviewCompleteMessageAugmentationPoint","reviewfilingcallback:NotifyFilingReviewCompleteMessageType","reviewfilingcallback:NotifyFilingReviewCompleteMessageAugmentationPoint","abstract","0,unbounded","","","",""
"Obligation","","","","A responsibility of a party in a case ordered by a court.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation","nc:ObligationType","","structures:ObjectType","","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation","","",""
"Obligation","comment","string","","Comments regarding an obligation.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationRequirementDescriptionText","nc:ObligationType","nc:ObligationRequirementDescriptionText","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationRequirementDescriptionText","0,1","",""
"Obligation","endDate","date","","The end date of an obligation.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationRecurrence/nc:ObligationDateRange/nc:EndDate","nc:ObligationRecurrenceType","nc:ObligationDateRange","nc:DateRangeType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationRecurrence/nc:ObligationEndDate","0,1","",""
"Obligation","frequency","string","","The frequency of an obligation (e.g. Weekly, Bi-Weekly, Semi-Monthly, Monthly, Quarterly, Semi-Annually, Annually).","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationRecurrence/nc:ObligationPeriodText","nc:ObligationRecurrenceType","nc:ObligationPeriodText","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationRecurrence/nc:ObligationPeriodText","0,1","",""
"Obligation","obligationType","string","","A type of responsibility of a party in a case ordered by a court..  e.x. financial obligation.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationCategoryText","nc:ObligationType","nc:ObligationCategoryText","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationCategoryText","0,1","",""
"Obligation","startDate","date","","The start date of an obligation.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationRecurrence/nc:ObligationDateRange/nc:StartDate","nc:ObligationRecurrenceType","nc:ObligationDateRange","nc:DateRangeType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationRecurrence/nc:ObligationStartDate","0,1","",""
"Obligation","unreimbursedPercent","float","","A percentage of an expense not to be reimbursed.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationExemption/nc:FinancialObligationExemptionAmount/nc:CurrencyText","nc:ObligationExemptionType","nc:FinancialObligationExemptionAmount","nc:AmountType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationExemption/nc:FinancialObligationExemptionAmount/nc:CurrencyText, nc:CurrencyCode","0,1","",""
"Obligation","unreimbursedType","string","","The type of unreimbursed percentage (e.g. medical, tuition).","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationExemption/nc:ObligationExemptionDescriptionText","nc:ObligationExemptionType","nc:ObligationExemptionDescriptionText","nc:TextType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationExemption/nc:ObligationExemptionDescriptionText","0,1","",""
"Obligation","recurrence","string","1","The recurrence of an obligation.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationRecurrence","nc:ObligationType","nc:ObligationRecurrence","nc:ObligationRecurrenceType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationRecurrence","0,1","",""
"Obligation","exemption","string","1","An exemption to an obligation.","domestic:CaseAugmentation/domestic:DomesticCaseOrder/domestic:FinancialObligation/nc:ObligationExemption","nc:ObligationType","nc:ObligationExemption","nc:ObligationExemptionType","0,1","domestic:DomesticCase/domestic:DomesticCaseOrder/domestic:DomesticCaseObligationdomestic:FinancialObligation/nc:ObligationExemption","0,1","",""
"Offender","","","","A person named in a citation alleged to have violated a statute or ordinance.","citation:CaseAugmentation/j:Citation/j:CitationSubject/citation:SubjectAugmentation","j:SubjectType","j:SubjectAugmentationPoint, (citation:SubjectAugmentation)","citation:SubjectAugmentationType","0,unbounded","citation:CitationCaseAugmentation/citation:CitationSubject","0,1","",""
"Offender","bloodAlcoholContentNumber","float","","A blood-alcohol percentage reading from a Blood Alcohol Test (BAC Test). A blank value represents not tested.","citation:CaseAugmentation/j:Citation/j:CitationSubject/citation:SubjectAugmentation/j:PersonBloodAlcoholContentText","citation:SubjectAugmentationType","j:PersonBloodAlcoholContentNumberText","nc:TextType","0,1","citation:CitationCaseAugmentation/citation:CitationSubject/citation:PersonBloodAlcoholNumber","0,1","",""
"Offender","extendedDriversLicenseInformation (<directional aggregation>)","","","Additional information about the drivers license of a person named in a citation alleged to have violated a statute or ordinance.","citation:CaseAugmentation/j:Citation/j:CitationSubject/citation:SubjectAugmentation/j:DriverLicense","citation:SubjectAugmentationType","j:DriverLicense","j:DriverLicenseType","0,1","citation:CitationCaseAugmentation/citation:CitationSubject/ecf:PersonAugmentation/ecf:PersonDriverLicense","0,1","",""
"Offender","extendedPersonInformation (<directional aggregation>)","","","Additional information about a person alleged to have violated a statute or ordinance.","citation:CaseAugmentation/j:Citation/j:CitationSubject/ns:RoleOfPerson","j:SubjectType","^nc:RoleOfPerson","nc:PersonType","1,1","citation:CitationCaseAugmentation/citation:CitationSubject/nc:RoleOfPersonReference","0,1","",""
"Offender","personID","id","","The unique identifier assigned by the court at the time a person is first associated with a case. If the court has not yet assigned an identifier in this case, then the filing assembly MDE will leave this element blank.  This identifier is used to link other information in the case to a particular person.","citation:CaseAugmentation/j:Citation/j:CitationSubject/nc:RoleOfPerson/nc:PersonOtherIdentification","nc:PersonType","nc:PersonOtherIdentification","nc:IdentificationType","0,unbounded","citation:CitationCaseAugmentation/citation:CitationSubject/j:SubjectIdentification","0,1","",""
"Operations","","","","A list of ECF operations.","policyresponse:GetPolicyResponseMessage/policyresponse:RuntimePolicy/policyresponse:SupportedOperations/policyresponse:OperationNameCode","","policyresponse:OperationNameCode","niem-xs:normalizedString","","policyresponse:CourtPolicyResponseMessage/policyresponse:DevelopmentPolicyParameters/policyresponse:SupportedOperation","1,unbounded","Genericode code list OperationNameCode.gc","AllocateCourtDate; DocumentStampInformation; GetCase; GetCaseList; GetCourtSchedule; GetDocument; GetFilingList; GetFilingStatus; GetPolicy; GetServiceInformation; NotifyCourtDate; NotifyFilingReviewComplete; NotifyDocketingComplete; NotifyDocumentStampInformation; RecordFiling; ReserveCourtDate; ReviewFiling; ServeFiling"
"Organization","","","","A structure that describes a unit which conducts some sort of business or operations.","nc:Organization/ecf:OrganizationAugmentation","nc:OrganizationType","nc:OrganizationAugmentationPoint, (ecf:OrganizationAugmentation)","ecf:OrganizationAugmentationType","0,unbounded","ecf:Organization/j:OrganizationAugmentation","","",""
"Organization","contactInformation (<directional aggregation>)","","0..1","Information useable to contact this organization, such as address, telephone number(s), and email address.","nc:Organization/nc:OrganizationPrimaryContactInformation","nc:OrganizationType","^nc:OrganizationPrimaryContactInformation","nc:ContactInformationType","0,1","ecf:Organization/nc:OrganizationPrimaryContactInformation","0,unbounded","",""
"Organization","electronicServiceInformation (<directional aggregation>)","","0..1","Information needed by the filing assembly MDE to electronically serve this organization with a copy of a filing.","nc:Organization/ecf:OrganizationAugmentation/ecf:ElectronicServiceInformation","ecf:OrganizationAugmentationType","ecf:ElectronicServiceInformation","ecf:ElectronicServiceInformationType","0,1","ecf:Organization/ecf:OrganizationAugmentation/ecf:ElectronicServiceInformation","0,1","",""
"Organization","name","string","","The name of a person or organization.","nc:Organization/nc:OrganizationName","nc:OrganizationType","nc:OrganizationName","nc:TextType","0,1","ecf:Organization/nc:OrganizationName","0,1","",""
"Organization","organizationID","id","","The unique identifier assigned by the court at the time the organization is first associated with the case.  If the court has not yet assigned an identifier in this case, then the filing assembly MDE will leave this blank.","nc:Organization/nc:OrganizationIdentification","nc:OrganizationType","nc:OrganizationIdentification","nc:IdentificationType","0,1","ecf:Organization/nc:OrganizationIdentification","0,1","",""
"Organization","organizationLocation (<directional aggregation>)","","","The location of an organization","","","","","","","","",""
"Organization","taxIdentification","string","0..1","A federal identifier for an organization.","nc:Organization/nc:OrganizationTaxIdentification","nc:OrganizationType","nc:OrganizationTaxIdentification","nc:IdentificationType","0,1","nc:Organization/nc:OrganizationTaxIdentification","0,1","",""
"OrganizationRelationship","","","","The relationship between two organizations.  Example: subsidiary corporation.","nc:Case/ecf:CaseAugmentation/nc:OrganizationAssociation/ecf:OrganizationAssociationAugmentation","nc:OrganizationAssociationType","nc:OrganizationAssociationAugmentationPoint, (ecf:OrganizationAssociationAugmentation)","ecf:OrganizationAssociationAugmentationType","0,unbounded","nc:Case/ecf:CaseAugmentation/ecf:OrganizationAssociation","","",""
"OrganizationRelationship","organization (<directional aggregation>)","","2..*","An entity created by law to conduct some sort of business or activity related to another such entity.","nc:Case/ecf:CaseAugmentation/nc:OrganizationAssociation/nc:Organization","nc:OrganizationAssociationType","^nc:Organization","nc:OrganizationType","2,unbounded","nc:Case/ecf:CaseAugmentation/ecf:OrganizationAssociation/nc:OrganizationReference","2,unbounded","",""
"OrganizationRelationship","typeCode","code","","A code for the type of relationship between two persons, between two organizations, or between a person and an organization in a case.  Allowable values are set forth in Court Policy.  Examples include parent/child, subsidiary corporation, and chief executive officer.","nc:Organization/ecf:OrganizationAssociationAugmentation/ecf:EntityAssociationTypeCode","ecf:OrganizationAssociationAugmentationType","ecf:EntityAssociationTypeCode","nc:TextType","0,1","nc:Case/ecf:CaseAugmentation/ecf:OrganizationAssociation/ecf:EntityAssociationTypeCode","0,1","Genericode code list EntityAssociationTypeCode.gc","Court-specific code list"
"ParentGuardian","","","","Information about the parent(s) or guardian(s) of a juvenile.","juvenile:CaseAugmentation/hs:ParentChildAssociation","juvenile:CaseAugmentationType","hs:ParentChildAssociation","nc:AssociationType","0,unbounded","juvenile:JuvenileCase/juvenile:GuardianAssociation","0,unbounded","",""
"ParentGuardian","personID","id","","The unique identifier assigned by the court at the time a person is first associated with a case. If the court has not yet assigned an identifier in this case, then the filing assembly MDE will leave this element blank.  This identifier is used to link other information in the case to a particular person.","juvenile:CaseAugmentation/hs:ParentChildAssociation/hs:Parent","hs:ParentChildAssociationType","^hs:Parent","nc:PersonType","1,unbounded","juvenile:JuvenileCase/juvenile:GuardianAssociation/nc:PersonGuardianReference","0,1","",""
"ParentGuardian","relationshipToJuvenileCode","code","","A code describing the parent or guardian relationship to the juvenile. Allowable values are set forth in court filing policy. Examples: Father, Mother, Guardian","juvenile:CaseAugmentation/hs:ParentChildAssociation/nc:ParentChildKinshipCategoryCode","hs:ParentChildAssociationType","hs:ParentChildKinshipCategoryAbstract, (hs:ParentChildKinshipCategoryCode)","hs:ParentChildKinshipCategoryCodeType","0,1","juvenile:JuvenileCase/juvenile:GuardianAssociation/juvenile:GuardianAssociationTypeCode","0,1","",""
"ParentRelationship","","","","Information relating to a parent.","domestic:CaseAugmentation/hs:ParentChildAssociation","hs:ParentChildAssociationType","","nc:AssociationType","","domestic:DomesticCase/nc:ImmediateFamilyAssociation","","",""
"ParentRelationship","parent (<directional aggregation>)","","1..*","Information about the person(s) involved as a parent in a current or previous domestic legal relationship.","domestic:CaseAugmentation/hs:ParentChildAssociation/hs:Parent","hs:ParentChildAssociationType","^hs:Parent","nc:PersonType","1,unbounded","domestic:DomesticCase/nc:ImmediateFamilyAssociation/nc:PersonParentReference","1,1","",""
"ParentRelationship","child (<directional aggregation>)","","","Information about the person(s) involved as a child in a current or previous domestic legal relationship.","domestic:CaseAugmentation/hs:ParentChildAssociation/hs:Child","hs:ParentChildAssociationType","hs:Child","hs:ChildType","1,1","domestic:DomesticCase/nc:ImmediateFamilyAssociation/cyfs:Child","1,1","",""
"ParentRelationship","parentRelationshipReason","string","","Justification for a claim of parentage.  Details including but not limited to date of conception, place of conception, and DNA.","domestic:CaseAugmentation/hs:ParentChildAssociation/hs:BiologicalParentDeterminationDescriptionText","hs:ParentChildAssociationType","hs:BiologicalParentDeterminationDescriptionText","nc:TextType","0,1","domestic:DomesticCase/nc:ImmediateFamilyAssociation/nc:FamilyKinshipCategoryText","0,1","",""
"ParentRelationship","parentTypeCode","code","","Type of parent.  Allowed values set forth in Court Policy.  Examples: natural, adoptive, surrogate, undetermined.","domestic:CaseAugmentation/hs:ParentChildAssociation/hs:ParentChildKinshipCategoryCode","hs:ParentChildAssociationType","hs:ParentChildKinshipCategoryAbstract, (hs:ParentChildKinshipCategoryCode)","hs:ParentChildKinshipCategoryCodeType","0,1","domestic:DomesticCase/nc:ImmediateFamilyAssociation/nc:FamilyKinshipCategoryCode","0,1","",""
"ParentRelationship","childReference","","1","A reference to a child in a parent relationship.","domestic:CaseAugmentation/hs:ParentChildAssociation/hs:Child/nc:RoleOfPerson","hs:ChildType","nc:RoleOfPerson","nc:PersonType","1,1","domestic:DomesticCase/nc:ImmediateFamilyAssociation/cyfs:Child","1,1","",""
"ParkingViolationInformation","","","","Information about a parking violation.","citation:CaseAugmentation/citation:ParkingViolation","citation:ParkingViolationType","","nc:IncidentType","","citation:CitationCaseAugmentation/citation:ParkingViolation","","",""
"ParkingViolationInformation","parkingMeterSpaceNumber","id","","An identifier for a parking space or meter.","citation:CaseAugmentation/citation:ParkingViolation/citation:ParkingMeterSpaceNumber","citation:ParkingViolationType","citation:ParkingMeterSpaceNumber","nc:NumericType","0,1","citation:CitationCaseAugmentation/citation:ParkingViolation/citation:ParkingMeterSpaceNumber","0,1","",""
"ParkingViolationInformation","parkingFacilityName","string","","The name of a parking facility/lot.","citation:CaseAugmentation/citation:ParkingViolation/citation:ParkingFacility/nc:FacilityName","citation:ParkingViolationType","citation:ParkingFacility","nc:FacilityType","0,1","citation:CitationCaseAugmentation/citation:ParkingViolation/citation:ParkingFacilityName","0,1","",""
"ParkingViolationInformation","vehicle (<directional aggregation>)","","","Information describing the motor vehicle involved in parking violation.","citation:CaseAugmentation/j:DrivingIncident/nc:IncidentVehicleAssociation/nc:Conveyance","citation:CaseAugmentationType","nc:Vehicle","nc:VehicleType","0,1","citation:CitationCaseAugmentation/citation:ParkingViolation/nc:IncidentVehicleAssociation/nc:ConveyanceReference","1,1","",""
"ParkingViolationInformation","relatedVehicle","","1","A vehicle related to an incident.","citation:CaseAugmentation/nc:Vehicle","citation:CaseAugmentationType","nc:Vehicle","nc:VehicleType","0,1","citation:CitationCaseAugmentation/citation:ParkingViolation/nc:IncidentVehicleAssociation/nc:ConveyanceReference","0,1","",""
"Payment","","","","The payment submitted with a filing.  The payment may consist of a fee for filing of the document(s) submitted, or for a fine or other payment due to the court.","payment:PaymentMessage/cac:Payment","cac:PaymentType","","","","payment:PaymentMessage/cac:Payment","1,1","",""
"Payment","transactionID","id","","An identifier that uniquely identifies the vendor, mechanism, etc., that handled this payment.","payment:PaymentMessage/cac:Payment/cbc:ID","cac:PaymentType","cbc:ID","cbc:IDType","0,1","payment:PaymentMessage/cac:Payment/cbc:ID","0,1","",""
"Payment","transactionTime","date","","The date and time at which a transaction will or did occur.","payment:PaymentMessage/cac:Payment/cbc:PaidDate, cbc:PaidTime","cac:PaymentType","cbc:PaidTime","cbc:PaidTimeType","0,1","payment:PaymentMessage/cac:Payment/cbc:PaidDate, cbc:PaidTime","0,1","",""
"Payment","correctedPayment","bool","0..1","Indicates whether the payment has been corrected in the Filing Review MDE","payment:PaymentMessage/payment:CorrectedPaymentIndicator","payment:PaymentMessageType","payment:CorrectedPaymentIndicator","niem-xs:boolean","1,1","","","",""
"PaymentMeans","","","","The payment method employed to complete a transaction.  Examples: credit card, debit card, automatic funds transfer, debit to an escrow account held at the court, promise to pay at a future date.  Allowable values set forth in Court Policy.","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans","cac:PaymentMeansType","","","","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans","0,unbounded","",""
"PaymentMeans","cardAccount (<directional aggregation>)","","0..1","The number of the credit or debit account against which this payment will be charged. ","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cac:CardAccount","cac:PaymentMeansType","cac:CardAccount","cac:CardAccountType","0,1","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cac:CardAccount","0,1","",""
"PaymentMeans","creditAccount (<directional aggregation>)","","0..1","The account against which this payment will be charged.","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cac:CreditAccount","cac:PaymentMeansType","cac:CreditAccount","cac:CreditAccountType","0,1","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cac:CreditAccount","0,1","",""
"PaymentMeans","financialAccount (<directional aggregation>)","","0..1","The account in a financial institution used for this payment.","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cac:PayerFinancialAccount","cac:PaymentMeansType","cac:PayerFinancialAccount","cac:FinancialAccountType","0,1","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cac:PayerFinancialAccount","0,1","",""
"PaymentMeans","payment (<directional aggregation>)","","0..1","The payment for which this means is specified.","payment:PaymentMessage/cac:Payment","cac:PaymentMeansType","cbc:PaymentID","cbc:PaymentIDType","1,1","payment:PaymentMessage/cac:Payment","1,1","",""
"PaymentMeans","paymentMeansCode","code","","A code representing the payment method employed.  Allowable values are set forth in Court Policy.","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cbc:PaymentMeansCode","cac:PaymentMeansType","cbc:PaymentMeansCode","cbc:PaymentMeansCodeType","1,1","payment:PaymentMessage/cac:AllowanceCharge/cac:PaymentMeans/cbc:PaymentMeansCode","1,1","",""
"PaymentMessage","","","","The payment submitted with a filing.  The payment may consist of a fee for filing of the document(s) submitted, or for a fine or other payment due to the court.","payment:PaymentMessage","payment:PaymentMessageType","","structures:ObjectType","","payment:PaymentMessage","","",""
"PaymentMessage","accountOwnerAddress","address","","The address of the owner of a financial account.","payment:PaymentMessage/cac:Address","payment:PaymentMessageType","cac:Address","cac:AddressType","1,1","payment:PaymentMessage/cac:Address","1,1","",""
"PaymentMessage","allowanceCharge (<directional aggregation>)","","*","An authorization by the filer allowing the court to take money from the filer, for the purpose of this filing, by a particular means.","payment:PaymentMessage/cac:AllowanceCharge","payment:PaymentMessageType","cac:AllowanceCharge","cac:AllowanceChargeType","0,unbounded","payment:PaymentMessage/cac:AllowanceCharge","0,unbounded","",""
"PaymentMessage","feeExemptionReasonCode","code","","A code for the reason why a filer does not have to pay an otherwise applicable payment.  Allowable values set forth in Court Policy. Examples are in forma pauperis status granted or a fee waiver application submitted with the filing..","payment:PaymentMessage/ecf:feeExceptionReasonCode","payment:PaymentMessageType","ecf:FeeExceptionReasonCode","nc:TextType","0,1","payment:PaymentMessage/payment:feeExceptionReasonCode","0,1","Genericode code list FeeExceptioneasonCode.gc","Court-specific code list"
"PaymentMessage","feeExemptionSupportingText","string","","Any text needed to support the exemption assertion (reference to a court order, etc.)","payment:PaymentMessage/ecf:feeExceptionSupportingText","payment:PaymentMessageType","ecf:FeeExceptionSupportingText","nc:TextType","0,1","payment:PaymentMessage/payment:feeExceptionSupportingText","0,1","",""
"PaymentMessage","payerID","id","","A court-issued identifer for the filer that paid the FilingPayment","payment:PaymentMessage/nc:Person/nc:PersonOtherIdentification","nc:PersonType","nc:PersonOtherIdentification","nc:IdentificationType","0,unbounded","","","",""
"PaymentMessage","payerName","name","","Name of the payer of the FilingPayment.","payment:PaymentMessage/payment:Payer","payment:PaymentMessageType","payment:Payer","nc:EntityType","1,1","payment:PaymentMessage/PayerName","1,1","",""
